,Cities,Max Temperature,Humidity,Cloudiness,Windspeed,Lat,Lon,Country,Date
115,cape town,57.2,93.0,20.0,3.36,-33.93,18.42,ZA,1532502000
116,nikolayevka,82.31,81.0,20.0,22.86,46.73,38.57,RU,1532505755
117,bharatpur,76.28,100.0,100.0,2.62,27.68,84.43,NP,1532505755
118,tateyama,89.6,59.0,75.0,6.93,36.66,137.31,JP,1532502000
119,port alfred,64.85,94.0,76.0,9.55,-33.59,26.89,ZA,1532505756
120,port augusta,68.0,45.0,0.0,8.05,-32.49,137.76,AU,1532502000
121,opuwo,65.03,30.0,0.0,12.8,-18.06,13.84,NA,1532505757
122,lumberton,80.6,83.0,1.0,3.36,30.27,-94.2,US,1532502900
123,port moresby,82.4,61.0,20.0,23.04,-9.47,147.16,PG,1532502000
124,catuday,82.31,97.0,48.0,5.64,16.29,119.81,PH,1532505757
125,marsa matruh,82.4,69.0,40.0,16.11,31.35,27.25,EG,1532502000
126,east london,59.0,93.0,75.0,8.05,-33.02,27.91,ZA,1532504760
127,preobrazheniye,79.43,71.0,0.0,3.4,42.9,133.91,RU,1532505758
128,port hedland,80.6,39.0,0.0,9.17,-20.31,118.58,AU,1532502000
130,nikolskoye,75.2,64.0,0.0,11.18,59.7,30.79,RU,1532503800
131,hambantota,85.82,83.0,0.0,20.74,6.12,81.12,LK,1532505759
132,alangayam,91.58,43.0,76.0,13.58,12.62,78.75,IN,1532505759
133,chuy,52.61,87.0,80.0,13.8,-33.69,-53.46,UY,1532505760
134,dwarka,84.2,83.0,90.0,4.7,28.58,77.04,IN,1532502000
135,faanui,80.15,100.0,76.0,13.69,-16.48,-151.75,PF,1532505760
136,henties bay,77.18,44.0,0.0,17.05,-22.12,14.28,NA,1532505519
137,temiscaming,68.0,94.0,90.0,8.05,46.72,-79.1,CA,1532502000
138,yellowknife,55.4,82.0,20.0,5.82,62.45,-114.38,CA,1532502000
139,coxim,55.58,87.0,8.0,2.62,-18.5,-54.75,BR,1532505761
140,labytnangi,75.11,54.0,0.0,16.49,66.66,66.39,RU,1532505761
141,kawalu,81.14,53.0,8.0,2.17,-7.38,108.21,ID,1532505684
142,shelburne,71.6,94.0,90.0,2.24,44.08,-80.2,CA,1532504580
143,hasaki,84.2,70.0,75.0,11.41,35.73,140.83,JP,1532503800
144,pokhara,72.05,79.0,44.0,1.05,28.21,83.99,NP,1532505538
145,kashin,72.23,82.0,64.0,12.57,57.36,37.61,RU,1532505763
146,saint-philippe,77.0,88.0,90.0,10.29,45.36,-73.48,CA,1532504520
147,hirna,75.11,46.0,32.0,3.4,9.22,41.1,ET,1532505763
148,butaritari,85.1,100.0,20.0,9.22,3.07,172.79,KI,1532505763
149,eskil,80.51,60.0,0.0,6.76,38.4,33.41,TR,1532505764
151,dongsheng,96.35,55.0,0.0,12.8,29.72,112.52,CN,1532505764
152,lavrentiya,44.6,92.0,56.0,4.41,65.58,-170.99,RU,1532505764
153,itarema,76.1,81.0,8.0,11.68,-2.92,-39.92,BR,1532505765
154,eureka,51.8,100.0,90.0,2.51,40.8,-124.16,US,1532504100
155,ingham,69.71,96.0,0.0,4.97,-18.65,146.16,AU,1532505766
156,mount gambier,50.45,81.0,80.0,4.52,-37.83,140.78,AU,1532505766
157,atuona,79.79,100.0,0.0,15.7,-9.8,-139.03,PF,1532505766
159,ewa beach,78.8,73.0,40.0,4.7,21.32,-158.01,US,1532503860
161,sterling,77.0,94.0,90.0,3.36,39.0,-77.4,US,1532504460
162,airai,78.98,54.0,8.0,0.94,-8.93,125.41,TL,1532505768
163,pitimbu,68.0,94.0,0.0,5.82,-7.47,-34.81,BR,1532502000
165,xinzhou,78.35,70.0,0.0,3.4,38.41,112.73,CN,1532505769
166,media luna,33.17,72.0,8.0,2.39,-21.67,-64.63,BO,1532505769
168,sitka,73.31,62.0,0.0,5.19,37.17,-99.65,US,1532505770
169,kisangani,77.45,89.0,80.0,2.95,0.52,25.21,CD,1532505770
170,floridia,87.8,45.0,0.0,6.93,37.09,15.15,IT,1532503200
171,ribeira grande,71.6,94.0,40.0,13.87,38.52,-28.7,PT,1532503800
172,lagoa,71.6,64.0,0.0,3.36,37.14,-8.45,PT,1532503800
173,verkhneuralsk,78.8,39.0,40.0,11.18,53.88,59.21,RU,1532503800
174,lingyuan,76.1,84.0,92.0,3.62,41.24,119.4,CN,1532505771
175,rocha,44.15,86.0,48.0,8.99,-34.48,-54.34,UY,1532505772
176,pavino,69.8,60.0,40.0,11.18,55.02,82.61,RU,1532503800
178,bonavista,65.75,72.0,8.0,19.28,48.65,-53.11,CA,1532505481
179,mago,59.27,83.0,100.0,4.18,53.27,140.15,RU,1532505773
180,provideniya,45.68,100.0,76.0,6.76,64.42,-173.23,RU,1532505773
181,basco,66.2,82.0,1.0,4.7,40.33,-91.2,US,1532504100
182,kedrovyy,71.6,37.0,40.0,11.18,56.17,91.82,RU,1532503800
183,praia,55.4,71.0,0.0,4.7,-20.25,-43.81,BR,1532502000
184,maitum,83.03,100.0,12.0,8.43,6.06,124.5,PH,1532505774
185,pyu,74.66,99.0,92.0,3.4,18.48,96.43,MM,1532505775
186,najran,95.0,20.0,75.0,9.17,17.54,44.22,SA,1532502000
187,hofn,51.8,81.0,20.0,3.36,64.25,-15.21,IS,1532505600
188,gasa,40.82,96.0,92.0,2.06,27.91,89.73,BT,1532505775
189,neuquen,20.03,69.0,0.0,3.74,-38.95,-68.06,AR,1532505496
191,honningsvag,62.6,88.0,0.0,5.82,70.98,25.97,NO,1532501400
193,kidal,93.02,41.0,0.0,15.03,18.44,1.41,ML,1532505777
194,puyang,97.97,52.0,8.0,4.52,35.76,115.02,CN,1532505777
195,kutum,91.22,26.0,12.0,15.7,14.2,24.66,SD,1532505777
197,bunia,77.63,84.0,0.0,3.06,1.56,30.25,CD,1532505778
198,balabac,87.08,92.0,0.0,15.03,7.99,117.06,PH,1532505778
200,ixtapa,78.8,88.0,90.0,4.7,20.71,-105.21,MX,1532501040
201,port blair,80.69,100.0,80.0,19.28,11.67,92.75,IN,1532505779
202,sur,88.52,86.0,0.0,3.06,22.57,59.53,OM,1532505779
203,watari,91.4,100.0,75.0,14.99,38.04,140.87,JP,1532502000
204,solnechnyy,62.15,99.0,100.0,6.98,50.72,136.64,RU,1532505779
206,burnie,52.61,100.0,44.0,18.5,-41.05,145.91,AU,1532505780
207,ponta do sol,60.17,68.0,44.0,5.75,-20.63,-46.0,BR,1532505780
208,georgetown,75.2,100.0,75.0,4.7,6.8,-58.16,GY,1532502000
209,kuala terengganu,91.4,75.0,75.0,3.36,5.33,103.14,MY,1532502000
210,burgeo,58.37,90.0,20.0,11.79,47.61,-57.61,CA,1532505781
211,vanimo,83.93,100.0,44.0,15.82,-2.67,141.3,PG,1532505782
212,beringovskiy,55.4,92.0,24.0,3.74,63.05,179.32,RU,1532505782
213,sapa,84.2,100.0,75.0,13.87,14.32,120.76,PH,1532502000
214,paamiut,39.38,99.0,76.0,26.89,61.99,-49.67,GL,1532505783
216,palmer,59.0,100.0,90.0,1.72,61.6,-149.11,US,1532503740
217,buraydah,102.2,21.0,0.0,10.29,26.33,43.97,SA,1532502000
219,sidi ali,83.75,53.0,32.0,3.51,36.1,0.42,DZ,1532505784
220,thinadhoo,82.31,100.0,64.0,19.06,0.53,72.93,MV,1532505784
221,boysun,87.71,20.0,20.0,1.95,38.2,67.2,UZ,1532505785
222,kununurra,95.0,8.0,0.0,4.7,-15.77,128.74,AU,1532502000
224,minggang,97.34,54.0,56.0,9.78,32.45,114.03,CN,1532505786
225,kruisfontein,61.07,87.0,68.0,7.54,-34.0,24.73,ZA,1532505786
228,udachnyy,62.96,56.0,0.0,3.18,66.42,112.4,RU,1532505787
230,lasa,84.2,66.0,20.0,10.29,34.92,32.53,CY,1532503800
231,norman wells,68.0,56.0,40.0,2.24,65.28,-126.83,CA,1532502000
232,bathsheba,80.6,74.0,20.0,16.11,13.22,-59.52,BB,1532502000
233,gwadar,88.34,77.0,0.0,10.56,25.12,62.33,PK,1532505788
234,hobyo,82.58,60.0,8.0,21.52,5.35,48.53,SO,1532505788
235,victoria,93.2,62.0,75.0,3.36,5.28,115.24,BN,1532503800
236,umred,84.2,79.0,75.0,10.29,20.85,79.32,IN,1532502000
237,high level,53.6,93.0,1.0,3.51,58.52,-117.13,CA,1532502000
238,kingsport,69.8,100.0,75.0,1.61,36.55,-82.56,US,1532502900
239,ahipara,56.21,98.0,36.0,14.47,-35.17,173.16,NZ,1532505790
240,carnarvon,60.53,34.0,0.0,12.01,-30.97,22.13,ZA,1532505790
241,puerto baquerizo moreno,71.15,100.0,32.0,12.57,-0.9,-89.6,EC,1532505791
243,tiznit,69.17,100.0,32.0,2.62,29.7,-9.73,MA,1532505791
244,bom jardim,69.53,92.0,56.0,5.97,-7.8,-35.59,BR,1532505792
245,chokurdakh,51.35,66.0,92.0,9.22,70.62,147.9,RU,1532505792
246,gondanglegi,86.09,37.0,0.0,7.43,-7.75,112.01,ID,1532505792
247,qaanaaq,35.51,98.0,92.0,2.62,77.48,-69.36,GL,1532505793
248,seoul,93.2,55.0,40.0,6.93,37.57,126.98,KR,1532502000
249,risod,85.64,70.0,68.0,14.25,19.98,76.79,IN,1532505793
250,venice,86.0,70.0,40.0,16.11,27.1,-82.45,US,1532504100
251,craig,75.2,39.0,40.0,3.18,40.52,-107.55,US,1532504100
252,sao desiderio,65.93,65.0,20.0,10.78,-12.36,-44.97,BR,1532505794
253,nsanje,69.26,90.0,8.0,4.18,-16.92,35.26,MZ,1532505794
255,ambanja,83.03,43.0,64.0,3.62,-13.68,48.45,MG,1532505795
256,xudat,84.92,70.0,0.0,4.74,41.63,48.68,AZ,1532505795
257,duayaw nkwanta,70.7,100.0,92.0,8.43,7.17,-2.1,GH,1532505795
258,tasiilaq,48.2,45.0,48.0,12.75,65.61,-37.64,GL,1532505000
259,la baule-escoublac,69.8,73.0,0.0,8.05,47.28,-2.4,FR,1532503800
260,hamilton,78.8,83.0,75.0,11.41,32.3,-64.78,BM,1532501700
261,atambua,81.86,82.0,0.0,3.18,-9.11,124.89,ID,1532505797
262,rorvik,57.2,100.0,75.0,4.7,64.86,11.24,NO,1532503200
263,mount isa,84.2,12.0,0.0,8.05,-20.73,139.49,AU,1532502000
264,fredericksburg,77.0,100.0,90.0,6.93,38.3,-77.46,US,1532503560
265,rabaul,77.0,100.0,92.0,4.52,-4.2,152.17,PG,1532505798
266,constitucion,69.53,44.0,92.0,6.2,23.99,-104.67,MX,1532505798
267,druzhinino,83.84,37.0,8.0,3.62,56.79,59.52,RU,1532505798
268,garowe,89.87,35.0,0.0,20.62,8.41,48.48,SO,1532505799
269,durusu,95.0,24.0,0.0,3.36,37.53,40.83,TR,1532503200
270,lodja,85.73,20.0,32.0,5.08,-3.52,23.6,CD,1532505799
271,kiama,62.6,39.0,0.0,14.99,-34.67,150.86,AU,1532502000
272,rio branco,64.4,72.0,0.0,4.7,-9.98,-67.82,BR,1532505600
273,newton,64.4,93.0,1.0,2.62,41.7,-93.05,US,1532504100
274,pierre,75.2,60.0,1.0,9.17,44.37,-100.35,US,1532501580
275,sete,56.66,100.0,92.0,1.05,27.58,86.44,NP,1532505801
276,visnes,64.4,93.0,75.0,1.12,59.36,5.22,NO,1532503200
277,acapulco,84.2,83.0,75.0,2.17,16.86,-99.88,MX,1532501220
278,jacareacanga,78.17,78.0,92.0,1.72,-6.22,-57.76,BR,1532505802
279,yacuiba,37.4,70.0,12.0,4.52,-22.01,-63.68,AR,1532505802
280,norfolk,78.8,94.0,90.0,4.7,36.85,-76.29,US,1532505240
281,hay river,59.0,77.0,40.0,6.93,60.82,-115.79,CA,1532502000
283,te anau,32.45,93.0,92.0,3.74,-45.41,167.72,NZ,1532505803
284,jiwani,90.95,70.0,0.0,10.22,25.05,61.74,PK,1532505803
285,college,71.6,53.0,1.0,2.51,64.86,-147.8,US,1532501880
286,kungurtug,72.95,32.0,12.0,7.09,50.6,97.53,RU,1532505804
287,inhambane,71.6,78.0,40.0,3.36,-23.87,35.38,MZ,1532502000
288,husavik,60.8,85.0,32.0,11.56,50.56,-96.99,CA,1532505805
289,kaeo,51.53,95.0,36.0,10.22,-35.1,173.78,NZ,1532505805
290,fort nelson,55.4,82.0,75.0,3.36,58.81,-122.69,CA,1532502000
291,abasolo,53.51,94.0,0.0,2.51,20.45,-101.53,MX,1532505805
293,longyearbyen,42.8,81.0,75.0,10.29,78.22,15.63,NO,1532503200
294,saint-pierre,75.2,60.0,0.0,6.93,48.95,4.24,FR,1532503800
295,iracoubo,75.74,93.0,80.0,2.73,5.48,-53.21,GF,1532505807
296,tarko-sale,79.07,47.0,0.0,21.63,64.92,77.78,RU,1532505807
297,pacific grove,62.6,93.0,90.0,3.36,36.62,-121.92,US,1532504280
298,marrakesh,68.0,72.0,0.0,4.7,31.63,-7.99,MA,1532503800
299,mikhaylovka,72.5,74.0,48.0,6.2,52.96,103.29,RU,1532505808
300,jasper,73.4,100.0,0.0,3.96,33.83,-87.28,US,1532504100
301,samarai,77.36,100.0,88.0,12.57,-10.62,150.67,PG,1532505809
302,portland,75.2,50.0,1.0,9.17,45.52,-122.67,US,1532501760
303,antofagasta,55.4,76.0,90.0,4.7,-23.65,-70.4,CL,1532502000
304,cascas,40.37,84.0,32.0,1.5,-7.48,-78.82,PE,1532505809
305,pedernales,68.09,100.0,68.0,2.95,0.07,-80.05,EC,1532505810
306,simao,77.81,77.0,88.0,2.62,22.76,100.79,CN,1532505810
307,nouadhibou,66.2,93.0,75.0,16.11,20.93,-17.03,MR,1532502000
309,meru,66.29,77.0,48.0,7.2,0.05,37.65,KE,1532505811
310,quatre cocos,77.0,61.0,40.0,14.99,-20.21,57.76,MU,1532502000
311,srednekolymsk,63.23,66.0,80.0,6.42,67.46,153.71,RU,1532505811
312,gushikawa,87.8,66.0,20.0,9.17,26.35,127.87,JP,1532505360
313,bintulu,82.4,83.0,75.0,3.36,3.17,113.03,MY,1532502000
314,pankrushikha,73.04,66.0,0.0,14.03,53.83,80.35,RU,1532505812
315,itaquyry,57.2,93.0,90.0,2.73,-24.93,-55.22,PY,1532502000
316,vestmannaeyjar,50.0,87.0,20.0,8.05,63.44,-20.27,IS,1532502000
317,kavieng,79.07,100.0,64.0,6.42,-2.57,150.8,PG,1532505813
318,camacha,71.6,73.0,0.0,1.12,33.08,-16.33,PT,1532503800
319,madimba,75.2,100.0,75.0,3.36,4.42,9.93,CM,1532502000
321,kathu,65.3,35.0,0.0,5.64,-27.7,23.05,ZA,1532505814
322,tsilna,80.6,47.0,92.0,8.95,54.59,48.14,RU,1532502000
323,luganville,78.26,99.0,44.0,16.71,-15.51,167.18,VU,1532505815
324,laguna,84.38,72.0,0.0,2.39,27.52,-110.01,MX,1532505815
325,los llanos de aridane,71.6,64.0,75.0,12.75,28.66,-17.92,ES,1532503800
326,genhe,69.98,70.0,0.0,5.19,50.78,121.52,CN,1532505815
327,nizwa,111.65,16.0,0.0,4.52,22.93,57.53,OM,1532505816
328,tiksi,43.07,79.0,36.0,12.24,71.64,128.87,RU,1532505816
329,rabo de peixe,69.8,83.0,20.0,12.75,37.8,-25.58,PT,1532503800
330,tetiyiv,78.98,87.0,32.0,7.99,49.38,29.66,UA,1532505817
331,richards bay,73.76,53.0,0.0,3.74,-28.77,32.06,ZA,1532505817
332,faya,80.6,39.0,75.0,8.05,18.39,42.45,SA,1532502000
333,beloha,78.53,37.0,0.0,12.24,-25.17,45.06,MG,1532505817
334,breves,75.92,98.0,36.0,4.63,-1.68,-50.48,BR,1532505631
335,saskylakh,56.12,66.0,0.0,11.12,71.97,114.09,RU,1532505818
336,porto-vecchio,84.2,45.0,0.0,3.36,41.59,9.28,FR,1532503800
337,axim,73.31,100.0,92.0,10.67,4.87,-2.24,GH,1532505818
338,balkhash,71.33,94.0,0.0,11.23,46.84,74.98,KZ,1532505819
339,santa maria,55.49,97.0,88.0,6.76,-29.69,-53.81,BR,1532505820
342,bubaque,75.2,100.0,20.0,11.45,11.28,-15.83,GW,1532502000
343,barra,68.36,76.0,24.0,12.46,-11.09,-43.14,BR,1532505821
344,tigil,83.03,41.0,88.0,8.77,57.8,158.67,RU,1532505821
345,willowmore,60.71,51.0,48.0,3.18,-33.3,23.49,ZA,1532505822
346,boyuibe,47.48,52.0,64.0,5.75,-20.43,-63.28,BO,1532505822
347,sawtell,62.6,55.0,0.0,4.7,-30.38,153.1,AU,1532502000
348,sucua,57.11,84.0,64.0,3.62,-2.46,-78.17,EC,1532505822
349,puntarenas,71.6,73.0,0.0,3.36,9.98,-84.84,CR,1532502000
350,jalu,87.8,47.0,0.0,8.55,29.03,21.55,LY,1532505823
351,wanaka,23.0,84.0,44.0,1.95,-44.7,169.14,NZ,1532505823
352,kilindoni,75.92,96.0,56.0,16.71,-7.91,39.67,TZ,1532505824
353,tadine,68.81,100.0,0.0,17.83,-21.55,167.88,NC,1532505824
354,flin flon,51.53,100.0,100.0,7.99,54.77,-101.88,CA,1532505824
355,potsdam,82.4,48.0,0.0,2.24,52.4,13.06,DE,1532505000
356,coquimbo,41.0,93.0,0.0,8.05,-29.95,-71.34,CL,1532502000
357,farafangana,72.77,100.0,24.0,10.67,-22.82,47.83,MG,1532505825
358,dioknisi,98.6,37.0,0.0,25.28,41.63,42.39,GE,1532503800
359,alta floresta,64.4,77.0,0.0,2.24,-9.87,-56.08,BR,1532502000
360,japura,83.75,80.0,44.0,2.73,-0.42,102.29,ID,1532505826
361,marystown,58.1,93.0,92.0,11.45,47.17,-55.16,CA,1532505826
362,jutai,74.03,95.0,12.0,3.06,-1.71,-47.89,BR,1532505826
363,half moon bay,68.0,93.0,90.0,9.17,37.46,-122.43,US,1532504400
364,tomatlan,72.41,94.0,24.0,1.16,19.93,-105.25,MX,1532505827
365,muzhi,82.4,43.0,0.0,15.26,65.4,64.7,RU,1532505827
366,san cristobal,50.0,81.0,75.0,10.29,-0.39,-78.55,EC,1532502000
367,pryazha,71.6,64.0,40.0,4.47,61.69,33.62,RU,1532503800
370,sola,64.4,82.0,40.0,5.82,58.89,5.65,NO,1532505000
371,palombara sabina,84.2,47.0,0.0,6.93,42.07,12.77,IT,1532503200
372,ola,64.4,93.0,75.0,6.71,59.58,151.3,RU,1532503800
373,zhangye,92.66,41.0,0.0,4.18,38.94,100.46,CN,1532505830
374,kaitangata,34.61,78.0,36.0,7.43,-46.28,169.85,NZ,1532505830
375,healdsburg,71.6,100.0,90.0,5.82,38.61,-122.87,US,1532504100
376,synya,84.38,34.0,0.0,5.19,65.37,58.04,RU,1532505830
377,maniitsoq,39.11,99.0,12.0,2.95,65.42,-52.9,GL,1532505831
378,namibe,67.01,100.0,64.0,4.41,-15.19,12.15,AO,1532505831
379,banda aceh,88.61,58.0,0.0,8.1,5.56,95.32,ID,1532505831
380,remanso,69.53,100.0,0.0,15.14,-9.62,-42.08,BR,1532505832
381,road town,80.6,78.0,20.0,8.05,18.42,-64.62,VG,1532501580
382,general pico,36.05,76.0,64.0,5.64,-35.66,-63.75,AR,1532505832
383,nakamura,87.8,66.0,75.0,16.11,35.17,136.87,JP,1532503800
384,lam luk ka,89.6,62.0,75.0,12.75,13.93,100.75,TH,1532502000
385,chara,86.0,40.0,20.0,2.51,39.42,22.43,GR,1532503200
386,melenki,75.2,57.0,0.0,6.71,55.94,42.98,RU,1532503800
387,bicas,55.22,86.0,92.0,2.62,-21.72,-43.06,BR,1532505834
388,lang son,85.73,76.0,44.0,6.53,21.83,106.73,VN,1532505834
389,saint george,86.0,40.0,20.0,2.51,39.45,22.34,GR,1532503200
391,tiarei,77.0,78.0,75.0,1.12,-17.53,-149.33,PF,1532503800
392,vila velha,73.4,88.0,20.0,6.93,-3.71,-38.6,BR,1532505600
393,havre-saint-pierre,62.6,100.0,40.0,2.24,50.23,-63.6,CA,1532504100
